record_kind,method,full_path,route_prefix,route_name,source_file,line,router_module,registered,auth_dependencies,authorization_scope,service_references,response_model,notes
endpoint,POST,/api/agencies/{agency_id}/documents/context-preview,/api/agencies/{agency_id},context_preview,backend/routers/agency_documents.py,189,routers.agency_documents,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,DocumentContextService;DocumentRenderService;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/documents/templates,/api/agencies/{agency_id},list_document_templates,backend/routers/agency_documents.py,42,routers.agency_documents,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,DocumentContextService;DocumentRenderService;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/documents/templates/{template_id},/api/agencies/{agency_id},get_document_template,backend/routers/agency_documents.py,62,routers.agency_documents,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,DocumentContextService;DocumentRenderService;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/documents/render-jobs,/api/agencies/{agency_id},list_render_jobs,backend/routers/agency_documents.py,76,routers.agency_documents,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,DocumentContextService;DocumentRenderService;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,POST,/api/agencies/{agency_id}/documents/render-jobs,/api/agencies/{agency_id},create_render_job,backend/routers/agency_documents.py,93,routers.agency_documents,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,DocumentContextService;DocumentRenderService;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/emd-workspaces,/api/agencies/{agency_id},list_agency_emd_workspaces,backend/routers/agency_emd_workspaces.py,26,routers.agency_emd_workspaces,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,EmdWorkspaceError;EmdWorkspaceService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/emd-workspaces/summary,/api/agencies/{agency_id},summarize_agency_emd_workspaces,backend/routers/agency_emd_workspaces.py,56,routers.agency_emd_workspaces,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,EmdWorkspaceError;EmdWorkspaceService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/emd-workspaces/{emd_workspace_id},/api/agencies/{agency_id},get_agency_emd_workspace,backend/routers/agency_emd_workspaces.py,66,routers.agency_emd_workspaces,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,EmdWorkspaceError;EmdWorkspaceService;PHASE_LABEL;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/feature-bundle-assignments,/api/agencies/{agency_id},list_agency_feature_bundle_assignments,backend/routers/agency_feature_bundle_assignments.py,22,routers.agency_feature_bundle_assignments,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,AgencyFeatureBundleAssignmentService;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
endpoint,GET,/api/agencies/{agency_id}/feature-bundle-assignment-history,/api/agencies/{agency_id},list_agency_feature_bundle_assignment_history,backend/routers/agency_feature_bundle_assignments.py,32,routers.agency_feature_bundle_assignments,yes,get_current_user;get_current_identity;get_database,authenticated_dependency,AgencyFeatureBundleAssignmentService;assert_agency_access;require_any_agency_role,dict,static_frontend_api_reference_detected
