record_kind,path,route_pattern,registration_kind,page_component,source_file,line,page_file,layout,role_or_surface,module_catalog_label,module_catalog_file,navigation,api_client_calls,backend_support,notes
page,/agency/booking-imports,,page_module,BookingImportsPage,frontend/src/pages/agency/BookingImportsPage.jsx,1,frontend/src/pages/agency/BookingImportsPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/booking-import-drafts;/api/agencies/${state.agency.id}/booking-import-drafts;/api/agencies/${state.agency.id}/booking-import-drafts/${id}/import-as-booking;/api/agencies/${state.agency.id}/gds-parser/booking-import-drafts/${id}/parse;/api/auth/me,matched_static_backend_shape,registered_in_app
page,/agency/booking-workspaces/{param1},,page_module,BookingWorkspaceDetailPage,frontend/src/pages/agency/BookingWorkspaceDetailPage.jsx,1,frontend/src/pages/agency/BookingWorkspaceDetailPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/booking-records/${bookingRecordId}/ticket-emd-readiness;/api/agencies/${context.agency.id}/booking-workspaces/${bookingWorkspaceId};/api/agencies/${context.agency.id}/emds?booking_record_id=${encodeURIComponent(bookingRecordId)};/api/agencies/${context.agency.id}/tickets?booking_record_id=${encodeURIComponent(bookingRecordId)};/api/agencies/${state.agency.id}/booking-records/${state.booking_record.id};/api/agencies/${state.agency.id}/booking-workspaces/${bookingWorkspaceId}/cancel;/api/agencies/${state.agency.id}/booking-workspaces/${bookingWorkspaceId}/rebuild-record;/api/agencies/${state.agency.id}/booking-workspaces/${bookingWorkspaceId}/status;/api/agencies/${state.agency.id}/emds/from-booking-service;/api/agencies/${state.agency.id}/tickets/from-booking-record;/api/auth/me,matched_static_backend_shape,registered_in_app
page,/agency/booking-workspaces;/agency/booking-workspaces,,page_module,BookingWorkspaceMetadataPage,frontend/src/pages/agency/BookingWorkspaceMetadataPage.jsx,1,frontend/src/pages/agency/BookingWorkspaceMetadataPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/booking-workspaces${query};/api/agencies/${context.agency.id}/booking-workspaces/summary;/api/auth/me,matched_static_backend_shape,registered_in_app
page,/agency/bookings,,page_module,BookingsPage,frontend/src/pages/agency/BookingsPage.jsx,1,frontend/src/pages/agency/BookingsPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/bookings;/api/agencies/${context.agency.id}/clients;/api/auth/me,matched_static_backend_shape,registered_in_app
page,/agency/bookings/new,,page_module,BookingCreatePage,frontend/src/pages/agency/BookingCreatePage.jsx,1,frontend/src/pages/agency/BookingCreatePage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/clients;/api/agencies/${context.agency.id}/offers;/api/agencies/${state.agency.id}/bookings;/api/agencies/${state.agency.id}/offers/${form.offer_id};/api/agencies/${state.agency.id}/offers/${form.offer_id}/create-booking;/api/auth/me,matched_static_backend_shape,registered_in_app
page,/agency/bookings/{param1},,page_module,BookingDetailPage,frontend/src/pages/agency/BookingDetailPage.jsx,1,frontend/src/pages/agency/BookingDetailPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/bookings/${bookingId};/api/agencies/${context.agency.id}/invoices;/api/agencies/${context.agency.id}/passengers;/api/agencies/${state.agency.id}/bookings/${bookingId};/api/agencies/${state.agency.id}/bookings/${bookingId}/emds;/api/agencies/${state.agency.id}/bookings/${bookingId}/passengers;/api/agencies/${state.agency.id}/bookings/${bookingId}/render-document;/api/agencies/${state.agency.id}/bookings/${bookingId}/segments;/api/agencies/${state.agency.id}/bookings/${bookingId}/tickets;/api/agencies/${state.agency.id}/emds/${emdId}/render-document;/api/agencies/${state.agency.id}/invoices;/api/agencies/${state.agency.id}/invoices/${form.invoice_id}/line-items;/api/agencies/${state.agency.id}/payments;/api/agencies/${state.agency.id}/tickets/${ticketId}/render-document;/api/auth/me,matched_static_backend_shape,registered_in_app
page,/agency/bundle-dependencies,,page_module,BundleDependenciesPage,frontend/src/pages/agency/BundleDependenciesPage.jsx,1,frontend/src/pages/agency/BundleDependenciesPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/feature-bundle-dependencies${query};/api/agencies/${context.agency.id}/feature-bundle-dependencies/summary;/api/auth/me,matched_static_backend_shape,registered_in_app
page,/agency/bundle-rollout-readiness,,page_module,BundleRolloutReadinessPage,frontend/src/pages/agency/BundleRolloutReadinessPage.jsx,1,frontend/src/pages/agency/BundleRolloutReadinessPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/feature-bundle-rollout-readiness;/api/agencies/${context.agency.id}/feature-bundle-rollout-readiness/summary;/api/auth/me,matched_static_backend_shape,registered_in_app
page,/agency/capabilities,,page_module,CapabilitiesPage,frontend/src/pages/agency/CapabilitiesPage.jsx,1,frontend/src/pages/agency/CapabilitiesPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/capabilities;/api/auth/me,matched_static_backend_shape,registered_in_app
page,/agency/capability-matrix,,page_module,CapabilityMatrixPage,frontend/src/pages/agency/CapabilityMatrixPage.jsx,1,frontend/src/pages/agency/CapabilityMatrixPage.jsx,AgencyLayout;ProtectedRoute,agency,,,,/api/agencies;/api/agencies/${agency.id}/branding;/api/agencies/${context.agency.id}/airline-capability-matrix${query};/api/auth/me,matched_static_backend_shape,registered_in_app
